experiment,pot,rep,isolate,species,isolate_id,germination,length_in,area_in.2,shoot_mg,root_mg,length_cm,area_cm.2
2,34,1,18PR015,Phytophthora sojae,29,7,17.497142857142858,0.24357142857142858,36.15714285714286,17.2,44.44274285714286,1.5714254285714286
2,35,1,18PR006,Phytophthora sojae,20,7,22.02285714285714,0.34085714285714286,57.01428571428572,22.614285714285717,55.93805714285714,2.199073942857143
2,36,1,17PR018J.3,Phytophthora sojae,15,8,10.90625,0.15725,34.2,13.875,27.701875,1.0145141
2,37,2,17PR009A.1,Phytophthora sojae,9,5,16.072,0.2042,45.62,16.18,40.82288,1.31741672
2,38,2,18PR014,Phytophthora sojae,28,6,15.29,0.20099999999999998,22.933333333333334,13.233333333333334,38.8366,1.2967715999999998
2,39,3,17PR006L.1,Phytophthora sansomeana,8,7,43.660000000000004,0.5801428571428572,94.58571428571429,39.5,110.89640000000001,3.7428496571428576
2,40,1,Control None,Control None,Control None,7,21.821428571428573,0.2794285714285714,48.34285714285714,33.08571428571428,55.42642857142857,1.8027613714285713
2,41,2,18PR015,Phytophthora sojae,29,8,20.29,0.28075,58.85,18.95,51.5366,1.8112867
2,42,1,17PR018F.1,Phytophthora sojae,12,7,15.895714285714286,0.2245714285714286,35.114285714285714,15.057142857142859,40.37511428571429,1.4488450285714287
2,43,3,17PR009A.1,Phytophthora sojae,9,8,21.95125,0.32175,6.8125,18.5625,55.756175000000006,2.0758023
2,44,2,16PR027C.2,Phytophthora sojae,7,8,19.125,0.263,26.1125,18.2,48.5775,1.6967708000000001
2,45,2,18PR004,Phytophthora sansomeana,18,8,43.27125,0.585125,74,28.875,109.90897500000001,3.77499245
2,46,2,16PR024C.2,Phytophthora sansomeana,5,7,56.37714285714286,0.7841428571428571,97.34285714285714,43.614285714285714,143.19794285714286,5.058976057142857
2,47,1,18PR007,Phytophthora sojae,21,5,15.991999999999999,0.2332,48.96,18.78,40.619679999999995,1.50451312
2,48,3,17PR018H.1,Phytophthora sojae,14,6,9.463333333333333,0.12983333333333333,42.43333333333333,14.4,24.036866666666665,0.8376327333333333
2,49,3,Control Agar,Control Agar,Control Agar,8,48.8775,0.68925,106.1875,38.4625,124.14885,4.4467653
2,50,2,18PR007,Phytophthora sojae,21,7,16.208571428571428,0.23228571428571426,48.385714285714286,15.757142857142856,41.16977142857143,1.4986145142857141
2,51,3,18PR009,Phytophthora sojae,23,7,11.85142857142857,0.14971428571428572,33.07142857142857,13.200000000000001,30.10262857142857,0.9658966857142858
2,52,2,18PR010,Phytophthora sojae,24,8,7.48625,0.100875,36.7125,8.7375,19.015075,0.65080515
2,53,3,16PR024C.2,Phytophthora sansomeana,5,8,46.18125,0.676875,75.6875,38.55,117.300375,4.36692675
2,54,2,17PR018J.3,Phytophthora sojae,15,8,14.65625,0.21525,40.075,17.125,37.226875,1.3887069
2,55,2,Control None,Control None,Control None,8,43.4625,0.59125,76.0625,35.9375,110.39475,3.8145085000000005
2,56,3,18PR004,Phytophthora sansomeana,18,7,32.15428571428571,0.4164285714285714,65.47142857142858,35.457142857142856,81.67188571428571,2.686630571428571
2,57,3,Control None,Control None,Control None,7,34.2,0.4825714285714286,55.48571428571428,40.4,86.86800000000001,3.1133578285714285
2,58,2,18PR012,Phytophthora sojae,26,6,18.53,0.261,49.199999999999996,17.05,47.0662,1.6838676000000001
2,59,1,18PR016,Phytophthora sojae,30,8,11.67,0.16025,28.65,12.7375,29.6418,1.0338689
2,60,1,18PR003,Phytophthora sansomeana,17,7,42.19714285714286,0.5521428571428572,90.01428571428572,37.17142857142857,107.18074285714286,3.562204857142857
2,61,2,16PR027C.1,Phytophthora sojae,6,7,31.06714285714286,0.3977142857142857,36.771428571428565,22.957142857142856,78.91054285714286,2.5658934857142857
2,62,1,18PR013,Phytophthora sojae,27,7,18.05857142857143,0.244,35.75714285714286,18.542857142857144,45.868771428571435,1.5741904
2,63,2,18PR006,Phytophthora sojae,20,8,19.35,0.289,41.1125,17.8625,49.149,1.8645124
2,64,3,18PR011,Phytophthora sojae,25,7,12.905714285714286,0.15685714285714286,23.228571428571428,13.185714285714285,32.78051428571428,1.011979542857143
2,65,1,16PR018B.1,Phytophthora sansomeana,3,7,51.800000000000004,0.7368571428571429,101.91428571428571,42.67142857142857,131.572,4.753907542857143
2,66,2,16PR018B.1,Phytophthora sansomeana,3,8,47.675,0.635875,91.5625,35.8375,121.0945,4.10241115
2,67,3,18PR005,Phytophthora sansomeana,19,5,NA,NA,92.78,42.08,NA,NA
2,68,3,18PR012,Phytophthora sojae,26,6,19.3,0.24183333333333334,45.416666666666664,16.083333333333332,49.022000000000006,1.5602119333333333
2,69,2,16PR009.2,Phytophthora sojae,2,5,5.868,0.073,40.86,7.42,14.904720000000001,0.47096679999999996
2,70,3,16PR018B.1,Phytophthora sansomeana,3,7,40.49714285714286,0.562,84.78571428571429,35.68571428571429,102.86274285714288,3.6257992000000003
2,71,2,17PR018F.2,Phytophthora sojae,13,7,20.91857142857143,0.2814285714285714,59.542857142857144,19.914285714285715,53.13317142857143,1.8156645714285713
2,72,3,18PR008,Phytophthora sojae,22,7,8.374285714285714,0.10385714285714286,18.085714285714285,10.842857142857143,21.27068571428571,0.6700447428571429
2,73,3,18PR007,Phytophthora sojae,21,8,12.92375,0.181875,41.4375,13.3,32.826325,1.17338475
2,74,2,18PR001,Phytophthora sojae,16,5,27.518,0.3564,61.96,25.080000000000002,69.89572,2.29935024
2,75,2,18PR003,Phytophthora sansomeana,17,8,44.93625,0.72225,76.975,41.1125,114.138075,4.659668099999999
2,76,2,16PR024C.1,Phytophthora sansomeana,4,7,40.54714285714285,0.5814285714285715,99.61428571428571,43,102.98974285714284,3.751144571428572
2,77,2,17PR018F.1,Phytophthora sojae,12,8,10.19625,0.156375,45.675,12.575,25.898474999999998,1.0088689499999999
2,78,3,16PR027C.1,Phytophthora sojae,6,6,42.49,0.6265,78.05,38.166666666666664,107.92460000000001,4.0419274
2,79,3,18PR014,Phytophthora sojae,28,7,19.722857142857144,0.286,71.02857142857142,23.057142857142857,50.09605714285715,1.8451575999999998
2,80,2,18PR016,Phytophthora sojae,30,7,11.385714285714286,0.1602857142857143,41.1,15.185714285714285,28.91971428571429,1.0340993142857144
2,81,3,18PR010,Phytophthora sojae,24,8,15.28875,0.190375,47.4375,12.325,38.833425,1.22822335
2,82,3,18PR001,Phytophthora sojae,16,7,35.32857142857143,0.4957142857142857,66.54285714285714,30.314285714285713,89.73457142857143,3.1981502857142856
2,83,3,17PR018F.2,Phytophthora sojae,13,8,21.28875,0.303,61.1125,22.7125,54.073425,1.9548348
2,84,2,18PR013,Phytophthora sojae,27,8,9.97,0.117375,23.8125,9.525,25.323800000000002,0.7572565499999999
2,85,2,17PR013G.3,Phytophthora sojae,11,8,42.7475,0.636875,71.1375,36.9375,108.57865000000001,4.10886275
2,86,3,18PR003,Phytophthora sansomeana,17,5,42.019999999999996,0.544,74.78,44.5,106.73079999999999,3.5096704
2,87,3,18PR016,Phytophthora sojae,30,7,16.228571428571428,0.20028571428571426,35.24285714285714,14.028571428571428,41.220571428571425,1.292163314285714
2,88,3,17PR018J.3,Phytophthora sojae,15,6,39.25666666666667,0.5185000000000001,77.39999999999999,30.066666666666666,99.71193333333333,3.3451546000000003
2,89,3,17PR018F.1,Phytophthora sojae,12,7,12.41,0.16985714285714287,30.485714285714288,12.6,31.5214,1.095850342857143
2,90,3,16PR024C.1,Phytophthora sansomeana,4,7,42.91571428571429,0.6118571428571429,95.44285714285715,38.84285714285714,109.0059142857143,3.947457542857143
2,91,3,18PR013,Phytophthora sojae,27,7,10.018571428571429,0.13442857142857143,35.58571428571428,13.428571428571429,25.44717142857143,0.8672793714285714
2,92,3,16PR027C.2,Phytophthora sojae,7,7,21.03142857142857,0.28671428571428575,30.614285714285717,24.614285714285717,53.41982857142857,1.849765885714286
2,93,3,17PR013G.3,Phytophthora sojae,11,6,19.705000000000002,0.27033333333333337,69.06666666666666,20.033333333333335,50.050700000000006,1.7440825333333336
2,94,3,18PR015,Phytophthora sojae,29,8,36.8725,0.49375,72.3125,33.225,93.65615000000001,3.1854775
2,95,2,17PR009A.2,Phytophthora sojae,10,6,8.258333333333333,0.1045,29.666666666666668,12.183333333333332,20.976166666666664,0.6741922
2,96,3,17PR009A.2,Phytophthora sojae,10,7,8.91,0.111,23.900000000000002,16.3,22.6314,0.7161276
2,97,3,18PR006,Phytophthora sojae,20,6,7.351666666666667,0.09399999999999999,30.349999999999998,9.1,18.673233333333332,0.6064504
2,98,3,16PR009.2,Phytophthora sojae,2,6,10.866666666666667,0.13066666666666668,23.933333333333334,10.433333333333334,27.601333333333336,0.8430090666666668
2,99,3,18PR017,Phytophthora sojae,31,6,10.825000000000001,0.14416666666666667,33.36666666666667,8.9,27.495500000000003,0.9301056666666666
3,1,1,16PR009.2,Phytophthora sojae,2,8,3.00375,0.076,19.7625,4.175,7.629525,0.49032159999999997
3,2,1,18PR004,Phytophthora sansomeana,18,7,26.458571428571428,0.5677142857142857,69.17142857142856,23.25714285714286,67.20477142857143,3.6626654857142857
3,3,1,16PR018B.1,Phytophthora sansomeana,3,7,22.872857142857146,0.4975714285714286,60.75714285714286,17.928571428571427,58.09705714285715,3.210131828571429
3,4,1,17PR018F.1,Phytophthora sojae,12,7,3.0557142857142856,0.07057142857142858,21.82857142857143,7.3428571428571425,7.761514285714285,0.4552986285714286
3,5,2,18PR004,Phytophthora sansomeana,18,8,18.015,0.4575,48.9,17.6,45.7581,2.951607
3,6,1,17PR009A.2,Phytophthora sojae,10,1,26.56,0.513,108.1,34.5,67.4624,3.3096708
3,7,1,16PR024C.1,Phytophthora sansomeana,4,7,20.009999999999998,0.4092857142857143,52.41428571428571,20.914285714285715,50.825399999999995,2.6405477142857143
