experiment,sample,length_in,area_in.2
exp 1,68,44.52,2.071
exp 1,68,12.54,0.751
exp 1,68,5.36,0.302
exp 1,68,2.12,0.15
exp 1,68,12.99,0.649
exp 1,68,46.39,1.762
exp 1,68,40.09,1.359
exp 1,68,46.31,1.761
exp 1,69,60.51,2.789
exp 1,69,28.29,1.518
exp 1,69,16.03,1.338
exp 1,69,6.08,0.455
exp 1,69,19.53,0.901
exp 1,69,25.83,1.575
exp 1,69,10.62,0.513
exp 1,70,8.59,0.499
exp 1,70,45.28,2.338
exp 1,70,67.63,2.503
exp 1,70,68.1,3.172
exp 1,70,84.28,3.391
exp 1,70,66.07,2.615
exp 1,71,9.87,0.403
exp 1,71,4.7,0.204
exp 1,71,4.47,0.21
exp 1,71,20.15,1.08
exp 1,71,2.13,0.124
exp 1,71,7.36,0.348
exp 1,71,2.58,0.185
exp 1,72,9.72,0.571
exp 1,72,6.81,0.317
exp 1,72,7.46,0.431
exp 1,72,14,0.562
exp 1,72,8.2,0.431
exp 1,72,81.23,3.231
exp 1,72,23.6,1.2
exp 1,73,7.45,0.165
exp 1,73,4.49,0.094
exp 1,73,4.72,0.098
exp 1,73,6.08,0.18
exp 1,74,60.82,2.701
exp 1,74,72.6,3.191
exp 1,74,25.72,1.401
exp 1,74,65.46,2.772
exp 1,74,31.74,2.014
exp 1,74,47.43,2.074
exp 1,74,69.58,2.684
exp 1,75,19.44,1.028
exp 1,75,27.92,1.276
exp 1,75,21.91,1.603
exp 1,75,35.89,1.38
exp 1,75,15.88,0.729
exp 1,75,15.87,1.094
exp 1,76,63.42,2.716
exp 1,76,51.11,1.806
exp 1,76,11.38,0.494
exp 1,76,85.59,4.681
exp 1,76,63.9,2.295
exp 1,76,45.05,2.167
exp 1,76,28.35,1.633
exp 1,76,2.82,0.257
exp 1,77,15.4,0.631
exp 1,77,49.04,1.716
exp 1,77,20.99,0.747
exp 1,77,40.63,1.299
exp 1,77,36.02,0.926
exp 1,77,14.06,0.45
exp 1,77,58.79,1.953
exp 1,78,10.49,0.361
exp 1,78,10.64,0.579
exp 1,78,10.26,0.391
exp 1,78,7.59,0.471
exp 1,78,0.57,0.024
exp 1,79,9.4,0.336
exp 1,79,30.92,1.581
exp 1,79,10.95,0.457
