isolate,species,estimate,std.error,df,conf.low,conf.high,measurement
16PR018B.1,Phytophthora sansomeana,70.77208994708988,7.906022605412638,7.5960580149233845,52.37062744862419,89.17355244555557,Shoot dry weigth
16PR024C.1,Phytophthora sansomeana,72.38333333333327,7.906022605412632,7.5960580149233765,53.98187083486759,90.78479583179895,Shoot dry weigth
16PR024C.2,Phytophthora sansomeana,73.450119047619,7.906022605412637,7.5960580149233765,55.04865654915331,91.85158154608469,Shoot dry weigth
17PR006L.1,Phytophthora sansomeana,68.72129629629623,7.9060226054126375,7.596058014923388,50.31983379783055,87.12275879476192,Shoot dry weigth
18PR003,Phytophthora sansomeana,77.63013227513221,7.906022605412631,7.59605801492337,59.228669776666536,96.03159477359789,Shoot dry weigth
18PR004,Phytophthora sansomeana,67.34087301587296,7.906022605412633,7.596058014923388,48.93941051740728,85.74233551433863,Shoot dry weigth
18PR005,Phytophthora sansomeana,66.25944003527349,7.906022605412641,7.59605801492345,47.85797753680782,84.66090253373915,Shoot dry weigth
16PR009.1,Phytophthora sojae,43.879444444445284,7.906022605412752,7.596058014923918,25.477981945979572,62.280906942910995,Shoot dry weigth
16PR009.2,Phytophthora sojae,47.17085978835973,7.906022605412636,7.596058014923391,28.769397289894044,65.57232228682541,Shoot dry weigth
16PR027C.1,Phytophthora sojae,53.295251322751255,7.906022605412637,7.596058014923409,34.89378882428558,71.69671382121693,Shoot dry weigth
16PR027C.2,Phytophthora sojae,41.22857142857137,7.906022605412632,7.596058014923401,22.82710893010571,59.63003392703703,Shoot dry weigth
17PR009A.1,Phytophthora sojae,46.03514550264544,7.906022605412636,7.596058014923397,27.63368300417977,64.43660800111111,Shoot dry weigth
17PR009A.2,Phytophthora sojae,42.870194003527274,7.906022605412633,7.596058014923408,24.46873150506161,61.271656501992936,Shoot dry weigth
17PR013G.3,Phytophthora sojae,71.15605820105814,7.906022605412631,7.596058014923389,52.754595702592475,89.55752069952382,Shoot dry weigth
17PR018F.1,Phytophthora sojae,36.984259259259204,7.906022605412632,7.596058014923389,18.58279676079353,55.38572175772488,Shoot dry weigth
17PR018F.2,Phytophthora sojae,48.92369929453257,7.906022605412634,7.596058014923409,30.522236796066903,67.32516179299823,Shoot dry weigth
17PR018H.1,Phytophthora sojae,47.842129629629575,7.906022605412636,7.596058014923393,29.4406671311639,66.24359212809526,Shoot dry weigth
17PR018J.3,Phytophthora sojae,37.8237301587301,7.9060226054126375,7.596058014923395,19.422267660264417,56.225192657195784,Shoot dry weigth
18PR001,Phytophthora sojae,47.15018518518512,7.90602260541263,7.596058014923378,28.74872268671945,65.5516476836508,Shoot dry weigth
18PR006,Phytophthora sojae,40.92891093474422,7.906022605412637,7.596058014923393,22.527448436278544,59.3303734332099,Shoot dry weigth
18PR007,Phytophthora sojae,45.449087301587234,7.906022605412638,7.596058014923393,27.04762480312155,63.85054980005292,Shoot dry weigth
18PR008,Phytophthora sojae,42.651058201058135,7.906022605412633,7.596058014923399,24.249595702592465,61.052520699523804,Shoot dry weigth
18PR009,Phytophthora sojae,39.17449735449729,7.906022605412633,7.5960580149234005,20.77303485603162,57.57595985296296,Shoot dry weigth
18PR010,Phytophthora sojae,38.174074074074014,7.906022605412632,7.596058014923404,19.772611575608348,56.575536572539676,Shoot dry weigth
18PR011,Phytophthora sojae,36.14658730158724,7.906022605412636,7.596058014923408,17.74512480312157,54.54804980005291,Shoot dry weigth
